DTI PREDICTION SCORES:
Accuracy: 0.8036
F1-Score: 0.5795
ROC-AUC:  0.7983

ADR PREDICTION REGRESSION SCORES:
MSE: 0.0005
MAE: 0.0107
R2: -0.8845

Per-ADR Regression Metrics:
meddra_10004716: MSE=0.0002, MAE=0.0096, R2=0.0000
meddra_10004969: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10004982: MSE=0.0003, MAE=0.0110, R2=0.0000
meddra_10004983: MSE=0.0003, MAE=0.0103, R2=0.0000
meddra_10005003: MSE=0.0002, MAE=0.0087, R2=0.0000
meddra_10005014: MSE=0.0002, MAE=0.0082, R2=0.0000
meddra_10005042: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10005056: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10005060: MSE=0.0003, MAE=0.0108, R2=0.0000
meddra_10005103: MSE=0.0015, MAE=0.0255, R2=-0.3816
meddra_10005134: MSE=0.0007, MAE=0.0141, R2=-0.7299
meddra_10005148: MSE=0.0007, MAE=0.0125, R2=-0.4951
meddra_10005159: MSE=0.0008, MAE=0.0173, R2=0.0000
meddra_10005161: MSE=0.0026, MAE=0.0203, R2=-0.0591
meddra_10005169: MSE=0.0004, MAE=0.0102, R2=-2.2881
meddra_10005177: MSE=0.0002, MAE=0.0095, R2=0.0000
meddra_10005184: MSE=0.0004, MAE=0.0111, R2=-1.2505
meddra_10005186: MSE=0.0002, MAE=0.0096, R2=0.0000
meddra_10005191: MSE=0.0007, MAE=0.0154, R2=-0.7627
meddra_10005214: MSE=0.0004, MAE=0.0109, R2=0.0000
meddra_10005216: MSE=0.0002, MAE=0.0091, R2=-8.5633
meddra_10005265: MSE=0.0007, MAE=0.0135, R2=-0.5366
meddra_10005495: MSE=0.0011, MAE=0.0153, R2=-0.4088
meddra_10005582: MSE=0.0003, MAE=0.0090, R2=-1.7756
meddra_10005603: MSE=0.0002, MAE=0.0082, R2=0.0000
meddra_10005746: MSE=0.0003, MAE=0.0088, R2=-1.1771
meddra_10005873: MSE=0.0009, MAE=0.0163, R2=-0.4933
meddra_10005876: MSE=0.0002, MAE=0.0071, R2=0.0000
meddra_10005886: MSE=0.0010, MAE=0.0156, R2=-0.2095
meddra_10005888: MSE=0.0002, MAE=0.0086, R2=0.0000
meddra_10005889: MSE=0.0003, MAE=0.0112, R2=0.0000
meddra_10005901: MSE=0.0003, MAE=0.0101, R2=0.0000
meddra_10005914: MSE=0.0004, MAE=0.0096, R2=0.0000
meddra_10005956: MSE=0.0002, MAE=0.0089, R2=-6.6512
meddra_10005986: MSE=0.0031, MAE=0.0145, R2=-0.0803
meddra_10005994: MSE=0.0003, MAE=0.0093, R2=0.0000
meddra_10006002: MSE=0.0007, MAE=0.0163, R2=-1.1860
meddra_10006007: MSE=0.0003, MAE=0.0085, R2=0.0000
meddra_10006023: MSE=0.0002, MAE=0.0096, R2=0.0000
meddra_10006056: MSE=0.0004, MAE=0.0128, R2=0.0000
meddra_10006093: MSE=0.0032, MAE=0.0262, R2=-0.1516
meddra_10006095: MSE=0.0002, MAE=0.0071, R2=-1.1036
meddra_10006100: MSE=0.0003, MAE=0.0096, R2=0.0000
meddra_10006101: MSE=0.0002, MAE=0.0076, R2=0.0000
meddra_10006102: MSE=0.0003, MAE=0.0103, R2=0.0000
meddra_10006105: MSE=0.0003, MAE=0.0099, R2=0.0000
meddra_10006121: MSE=0.0003, MAE=0.0096, R2=-1.9568
meddra_10006126: MSE=0.0004, MAE=0.0109, R2=0.0000
meddra_10006168: MSE=0.0002, MAE=0.0089, R2=0.0000
meddra_10006171: MSE=0.0003, MAE=0.0099, R2=0.0000
meddra_10006179: MSE=0.0003, MAE=0.0097, R2=0.0000
meddra_10006187: MSE=0.0003, MAE=0.0099, R2=-1.0545
meddra_10006192: MSE=0.0006, MAE=0.0140, R2=0.0000
meddra_10006220: MSE=0.0002, MAE=0.0074, R2=0.0000
meddra_10006223: MSE=0.0002, MAE=0.0070, R2=0.0000
meddra_10006228: MSE=0.0002, MAE=0.0089, R2=0.0000
meddra_10006242: MSE=0.0002, MAE=0.0077, R2=-1.3975
meddra_10006249: MSE=0.0003, MAE=0.0108, R2=0.0000
meddra_10006258: MSE=0.0004, MAE=0.0114, R2=0.0000
meddra_10006262: MSE=0.0003, MAE=0.0102, R2=0.0000
meddra_10006272: MSE=0.0004, MAE=0.0109, R2=-2.1363
meddra_10006298: MSE=0.0003, MAE=0.0105, R2=-1.7353
meddra_10006300: MSE=0.0002, MAE=0.0074, R2=0.0000
meddra_10006312: MSE=0.0002, MAE=0.0078, R2=0.0000
